Belga the Cystwitch                                                    || 40mm {Maggotkin of Nurgle Battle Profiles January 2026}
Bloab Rotspawned                                                       || 100mm
Cankerborn                                                             || 40mm {Maggotkin of Nurgle Battle Profiles January 2026}
Festus the Leechlord                                                   || 150 x 95mm {Maggotkin of Nurgle Battle Profiles January 2026}
Gelgus Pust, the Prince of Sores                                       || 50mm {Maggotkin of Nurgle Battle Profiles January 2026}
Great Unclean One                                                      || 130mm
Gutrot Spume                                                           || 40mm
Harbinger of Decay                                                     || 90 x 52mm
Horticulous Slimux                                                     || 105 x 70mm
Lord of Afflictions                                                    || 60mm
Lord of Blights                                                        || 40mm
Lord of Plagues                                                        || 40mm
Morbidex Twiceborn                                                     || 100mm
Orghotts Daemonspew                                                    || 100mm
Poxbringer, Herald of Nurgle                                           || 32mm
Rotbringer Sorcerer                                                    || 32mm
Rotigus                                                                || 130mm
Shaman Foulhoof                                                        || 32mm {Maggotkin of Nurgle Battle Profiles January 2026}
Sloppity Bilepiper, Herald of Nurgle                                   || 32mm
Spoilpox Scrivener, Herald of Nurgle                                   || 40mm
The Glottkin                                                           || 130mm
Beasts of Nurgle                                                       || 60mm
Nurglings                                                              || 40mm
Pestigors                                                              || 32mm {Maggotkin of Nurgle Battle Profiles January 2026}
Plague Drones                                                          || 60mm
Plaguebearers                                                          || 32mm
Pusgoyle Blightlords                                                   || 60mm
Putrid Blightkings                                                     || 40mm
Rotmire Creed                                                          || 32mm [2], 28.5mm [2], 25mm [6]
Rotswords                                                              || 32mm {Maggotkin of Nurgle Battle Profiles January 2026}
Sloven Knights                                                         || 75 x 42mm {Maggotkin of Nurgle Battle Profiles January 2026}
